resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states
PresignedDomainUrl,resource,['create'],[],"['Space', 'UserProfile']",[],['CreatePresignedDomainUrl'],[],[]
PresignedNotebookInstanceUrl,resource,['create'],[],['NotebookInstance'],[],['CreatePresignedNotebookInstanceUrl'],[],[]
ProcessingJob,resource,"['create', 'get', 'list']","['refresh', 'stop', 'wait']",[],[],"['CreateProcessingJob', 'DescribeProcessingJob', 'ListProcessingJobs', 'StopProcessingJob']","[{'name': 'ProcessingJobStatus', 'shape_name': 'ProcessingJobStatus'}]","['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Project,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateProject', 'DeleteProject', 'DescribeProject', 'ListProjects', 'UpdateProject']","[{'name': 'ProjectStatus', 'shape_name': 'ProjectStatus'}]","['Pending', 'CreateInProgress', 'CreateCompleted', 'CreateFailed', 'DeleteInProgress', 'DeleteFailed', 'DeleteCompleted', 'UpdateInProgress', 'UpdateCompleted', 'UpdateFailed']"
Space,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateSpace', 'DeleteSpace', 'DescribeSpace', 'ListSpaces', 'UpdateSpace']","[{'name': 'Status', 'shape_name': 'SpaceStatus'}]","['Deleting', 'Failed', 'InService', 'Pending', 'Updating', 'Update_Failed', 'Delete_Failed']"
StudioLifecycleConfig,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateStudioLifecycleConfig', 'DeleteStudioLifecycleConfig', 'DescribeStudioLifecycleConfig', 'ListStudioLifecycleConfigs']",[],[]
Tags,resource,"['add', 'list']",['delete'],[],[],"['AddTags', 'DeleteTags', 'ListTags']",[],[]
TrainingJob,resource,"['create', 'get', 'list']","['refresh', 'stop', 'update', 'wait']",[],[],"['CreateTrainingJob', 'DescribeTrainingJob', 'ListTrainingJobs', 'StopTrainingJob', 'UpdateTrainingJob']","[{'name': 'TrainingJobStatus', 'shape_name': 'TrainingJobStatus'}]","['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
TransformJob,resource,"['create', 'get', 'list']","['refresh', 'stop', 'wait']",['Model'],[],"['CreateTransformJob', 'DescribeTransformJob', 'ListTransformJobs', 'StopTransformJob']","[{'name': 'TransformJobStatus', 'shape_name': 'TransformJobStatus'}]","['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Trial,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Experiment'],[],"['CreateTrial', 'DeleteTrial', 'DescribeTrial', 'ListTrials', 'UpdateTrial']",[],[]
TrialComponent,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],"['AssociateTrialComponent', 'DisassociateTrialComponent']","['AssociateTrialComponent', 'CreateTrialComponent', 'DeleteTrialComponent', 'DescribeTrialComponent', 'DisassociateTrialComponent', 'ListTrialComponents', 'UpdateTrialComponent']","[{'name': 'Status', 'shape_name': 'TrialComponentStatus'}, {'name': 'PrimaryStatus', 'shape_name': 'TrialComponentPrimaryStatus'}]","['InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
UserProfile,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateUserProfile', 'DeleteUserProfile', 'DescribeUserProfile', 'ListUserProfiles', 'UpdateUserProfile']","[{'name': 'Status', 'shape_name': 'UserProfileStatus'}]","['Deleting', 'Failed', 'InService', 'Pending', 'Updating', 'Update_Failed', 'Delete_Failed']"
Workforce,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreateWorkforce', 'DeleteWorkforce', 'DescribeWorkforce', 'ListWorkforces', 'UpdateWorkforce']","[{'name': 'Workforce', 'shape_name': 'Workforce'}, {'name': 'Status', 'shape_name': 'WorkforceStatus'}]","['Initializing', 'Updating', 'Deleting', 'Failed', 'Active']"
Workteam,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Workforce'],"['DescribeSubscribedWorkteam', 'ListLabelingJobsForWorkteam', 'ListSubscribedWorkteams']","['CreateWorkteam', 'DeleteWorkteam', 'DescribeSubscribedWorkteam', 'DescribeWorkteam', 'ListLabelingJobsForWorkteam', 'ListSubscribedWorkteams', 'ListWorkteams', 'UpdateWorkteam']",[],[]
